id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
36382381,Spacious studio in the heart of downtown Astoria,273570019,Khaled,Queens,Astoria,40.76349,-73.92577,Private room,65,4,6,2020-01-03,0.52,1,363
36382677,"Modern Duplex in Brooklyn, NY",273094515,Darina,Brooklyn,Flatbush,40.63839,-73.96737,Private room,381,31,5,2020-03-08,0.58,1,358
36382761,Magical Brooklyn Brownstone,6948761,Angela,Brooklyn,Clinton Hill,40.68807,-73.96572,Entire home/apt,400,5,0,,,1,0
36383411,Artist’s room in beautiful Clinton Hill.,162283008,Daniel,Brooklyn,Clinton Hill,40.68568,-73.96447,Private room,45,3,2,2019-11-15,0.21,1,0
36383565,Spacious Astoria Apartment in a Prime Location!,14258377,Tracy,Queens,Astoria,40.76389,-73.91963,Private room,50,4,5,2019-12-31,0.42,1,0
36383943,15 mins to LOVE NYC in a NEW Elegant NY Style 1BR,185936267,Serena,Manhattan,Lower East Side,40.72129,-73.98585,Entire home/apt,169,2,19,2020-03-23,1.44,1,50
36384346,"✨Superior King Room , Manhattan  View✨",273392981,Giorgio Residence,Queens,Long Island City,40.75615,-73.94121,Hotel room,149,1,11,2020-03-11,0.87,17,320
36385310,Piano duplex in New York artistic best Bushwick,273547720,Cedric,Brooklyn,Bushwick,40.69982,-73.92321,Entire home/apt,199,30,9,2020-01-05,0.69,2,365
36385709,Private Space/Bath & Kitch,273595431,Towan,Brooklyn,South Slope,40.66492,-73.9884,Entire home/apt,95,2,20,2020-01-27,1.63,1,0
36385858,Beautiful cozy studio apartment in Crown Heights,164306429,Mauricio,Brooklyn,Crown Heights,40.67105,-73.9486,Entire home/apt,90,2,5,2020-02-11,0.64,1,4
36386298,Spacious 3 Bedroom Duplex w/ Huge Backyard & pking,273596828,Enoma,Brooklyn,Bedford-Stuyvesant,40.67959,-73.94987,Entire home/apt,385,14,25,2020-02-16,1.90,2,160
36387416,"Incredibly large room, excellent location!",6570630,Marisol,Brooklyn,Bushwick,40.7018,-73.93282,Private room,70,4,0,,,2,0
36388492,"✨Premier King Room , City View✨",273392981,Giorgio Residence,Queens,Long Island City,40.75559,-73.94106,Hotel room,149,1,17,2020-03-08,1.27,17,350
36388807,seagate pravite house 5 mins away from beach,273619304,Tural,Brooklyn,Sea Gate,40.57531,-74.00518,Entire home/apt,299,7,1,2019-08-30,0.08,1,90
36389944,Family Friendly Apt in Midtown East,224309949,Efrat,Manhattan,Midtown,40.75988,-73.96591,Entire home/apt,250,5,0,,,1,0
36392805,Summer Skyline Oasis,1137008,Carlos,Manhattan,Morningside Heights,40.81322,-73.95967,Entire home/apt,98,25,0,,,1,0
36394726,1 bed available in a 2bd/1ba Bushwick Gem,239638986,Marné,Brooklyn,Bushwick,40.69287,-73.92289,Private room,85,1,1,2019-07-21,0.08,1,179
36404568,Sharp Upper East Side 2BR w/ Gym + W/D near the MET by Blueground,107434423,Blueground,Manhattan,Upper East Side,40.77889,-73.95349,Entire home/apt,259,30,0,,,249,228
36404684,Smart Nolita 1BR w/ W/D near famous cafes by Blueground,107434423,Blueground,Manhattan,Nolita,40.72317,-73.99568,Entire home/apt,284,30,1,2020-06-28,0.60,249,358
36404815,Trendy Hell's Kitchen 1BR w/ Gym + W/D + Doorman by Blueground,107434423,Blueground,Manhattan,Hell's Kitchen,40.7606,-73.99628,Entire home/apt,226,30,0,,,249,353
36411407,Brand new 1 bedroom steps from Soho!,33917435,Mike,Manhattan,Lower East Side,40.71825,-73.99019,Entire home/apt,120,2,4,2019-08-14,0.29,1,168
36411822,One step,273768652,Kim,Brooklyn,Bay Ridge,40.625,-74.03542,Private room,38,7,6,2020-07-20,0.51,1,75
36412410,Cozy 1 bedroom in East Williamsburg,62763569,Yuting,Brooklyn,Williamsburg,40.70266,-73.94284,Entire home/apt,70,3,2,2020-01-18,0.15,1,0
36412880,Massive Master Bedroom w Private Bathroom,3427758,Phil,Manhattan,Harlem,40.81274,-73.94357,Private room,110,3,9,2019-12-30,0.69,1,0
